blockId;channel;programme;blockType_org;blockType_mod;xDate;xTime;ratecard;freeTime;week;timeband;wantedness;bookedness;eqPriceNet;grpTg_01;grpTg_02;grpTg_50;grpTg_98;grpTg_99;positionCode;scheduleInfo
15107426492;chujowa stacja;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;06:15:00;5200;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,5384;0,5342;0,53;0,5342;0,5342;50;{"targetGroup":"unknown","histFileName":"unknown","createdDate":"2005-04-02","prorokVersion":"2137"}
15107426494;chujowa stacja2;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;06:30:00;6500;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,6502;0,6451;0,64;0,6451;0,6451;50;
15107426495;POLSAT;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;06:45:00;8000;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,7721;0,766;0,76;0,766;0,766;50;
15107426496;POLSAT;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;06:47:00;8000;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,7721;0,766;0,76;0,766;0,766;50;
15107426499;POLSAT;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;07:15:00;9400;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,955;0,9475;0,94;0,9475;0,9475;50;
15107426500;POLSAT;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;07:30:00;10700;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,9855;0,9777;0,97;0,9777;0,9777;50;
15107426501;POLSAT;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;07:45:00;12900;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;1,2598;1,2499;1,24;1,2499;1,2499;50;
15107426502;POLSAT;NOWY DZIEŃ Z POLSAT NEWS;PRE;REGULAR BEFORE;2021-05-01;07:55:00;10300;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;1,1379;1,1289;1,12;1,1289;1,1289;50;
15107426506;POLSAT;FILM ANIMOWANY - DOM;MIDDLE;SANDWICH AFTER;2021-05-01;08:40:00;6600;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,6783;0,649;0,61;0,5953;0,5953;50;
15107426508;POLSAT;FILM ANIMOWANY - DOM;MIDDLE;SANDWICH BEFORE;2021-05-01;08:45:00;6600;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,7696;0,7577;0,74;0,734;0,734;50;
15107426510;POLSAT;FILM ANIMOWANY - DOM;MIDDLE;SANDWICH AFTER;2021-05-01;09:35:00;9800;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,934;0,8937;0,84;0,8198;0,8198;50;
15107426511;POLSAT;FILM ANIMOWANY - DOM;MIDDLE;SANDWICH BEFORE;2021-05-01;09:40:00;9800;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,8736;0,8601;0,84;0,8332;0,8332;50;
15107426517;POLSAT;EWA GOTUJE;MIDDLE;REGULAR MIDDLE;2021-05-01;10:25:00;11100;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,7873;0,7636;0,74;0,7459;0,7459;50;
15107426522;POLSAT;NASZ NOWY DOM;MIDDLE;REGULAR MIDDLE;2021-05-01;10:50:00;11700;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;0,8299;0,8049;0,78;0,7862;0,7862;50;
15107426524;POLSAT;NASZ NOWY DOM;MIDDLE;REGULAR MIDDLE;2021-05-01;11:20:00;16000;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;1,2768;1,2384;1,2;1,2096;1,2096;50;
15107426529;POLSAT;NASZ NOWY DOM 2;MIDDLE;REGULAR MIDDLE;2021-05-01;11:50:00;16400;999;jakiś week, Ty to wytwrzasz;jakiś timeband, Ty to wytwarzasz;NotWanted;NotBooked;0;1,3406;1,3003;1,26;1,27;1,27;50;
